participant,segment,rms,zcr,amplitude_range,max_amplitude,min_amplitude,skewness,kurtosis
Participant_BPF_30,9,0.003716965,0.09822998046875,0.17434692,0.07321167,-0.101135254,-1.468576192855835,86.75476
Participant_BPF_31,3,0.0068603856,0.07904052734375,0.16531372,0.07989502,-0.0854187,0.3439435660839081,18.440605
Participant_BPF_31,4,0.010179828,0.0832275390625,0.32019043,0.18389893,-0.1362915,0.7631536722183228,27.953196
Participant_BPF_31,5,0.010405498,0.0840576171875,0.32019043,0.18389893,-0.1362915,0.6701222062110901,26.980217
Participant_BPF_31,6,0.0066053444,0.08126220703125,0.15411377,0.0642395,-0.08987427,-0.24060489237308502,20.36301
Participant_BPF_31,7,0.0069740713,0.08182373046875,0.23190308,0.114227295,-0.11767578,-0.27648064494132996,43.42163
Participant_BPF_31,8,0.0072833253,0.0823486328125,0.2368164,0.119140625,-0.11767578,-0.3189105689525604,50.57876
Participant_BPF_31,9,0.0059567355,0.08148193359375,0.23065186,0.119140625,-0.11151123,-0.01717551425099373,53.326824
Participant_BPF_32,3,0.002593773,0.1017578125,0.12045288,0.0619812,-0.05847168,0.2134086638689041,82.92185
Participant_BPF_32,4,0.0021752666,0.1081298828125,0.052856445,0.022003174,-0.030853271,-0.03528254106640816,16.43805
Participant_BPF_32,5,0.0018620845,0.1173583984375,0.041107178,0.01889038,-0.022216797,0.07888425886631012,15.439171
Participant_BPF_32,6,0.0019040632,0.11600341796875,0.050689697,0.02368164,-0.027008057,-0.14229431748390198,16.560886
Participant_BPF_32,7,0.0021973865,0.11136474609375,0.057891846,0.030883789,-0.027008057,0.07031633704900742,15.567499
Participant_BPF_32,8,0.0021449917,0.1073974609375,0.055480957,0.030883789,-0.024597168,0.07761940360069275,12.683385
Participant_BPF_32,9,0.0020349487,0.10084228515625,0.03765869,0.021362305,-0.016296387,0.08768747746944427,9.341064
Participant_BPF_33,3,0.0060561383,0.08021240234375,0.098724365,0.051635742,-0.047088623,-0.313636839389801,13.5880165
Participant_BPF_33,4,0.0062360927,0.07962646484375,0.10852051,0.061431885,-0.047088623,-0.17908985912799835,14.969234
Participant_BPF_33,5,0.0067606256,0.07978515625,0.26220703,0.14404297,-0.11816406,0.2780439257621765,37.83552
Participant_BPF_33,6,0.006493719,0.0784423828125,0.26220703,0.14404297,-0.11816406,0.19122186303138733,40.41487
Participant_BPF_33,7,0.0062986454,0.0782470703125,0.1590271,0.08441162,-0.07461548,-0.042594436556100845,21.511242
Participant_BPF_33,8,0.006537158,0.08040771484375,0.1590271,0.08441162,-0.07461548,-0.004773722495883703,22.359444
